Term ID	Class	Description	Status
030-1546	030	Gimbap (Korean rice dish)	D
030-650	030	Soy bean paste	A
030-324	030	Bean paste	A
008-4213	008	Hand-operated tools for reaching, grabbing, and handling small objects	A
008-4216	008	Electric pedicure tools	A
008-4214	008	Electric manicure tools	A
008-4215	008	Pedicure tools	A
040-1045	040	Framing of works of art in the nature of {indicate, e.g., posters, paintings, etc.}	A
020-1645	020	Non-metal hanging closet organizers for {specify, e.g., shoes, sweaters, purses, etc.}	A
011-819	011	Nitrogen-generation equipment and components, namely, nitrogen generators and associated nozzles sold as a unit	D
011-846	011	Oxygen concentrators for use with fuel cells used in heating, ventilation, air conditioning, lighting, and power systems for buildings	D
007-4521	007	Explosive actuated tools for driving rivets	A
001-2352	001	Thermal paste	A
001-2353	001	Reagent bearing diagnostic strips for testing breast milk, other than for medical or veterinary use	A
001-2361	001	Lye water for the food industry	A
035-2003	035	Research and analysis in the fields of economics and economic policy	D
035-2018	035	Business research services in the field of {indicate field or subject matter}	A
035-1323	035	Providing business research services, namely, researching dental patient insurance information for dental offices	D
035-960	035	Business research services, namely, providing analysis of retail data on specific business locations	A
035-1383	035	On-line business research service that allows the user to analyze opinion trends contained in documents on the Internet	D
035-371	035	Shopping by researchers who pose as customers to evaluate the quality of service delivered	D
036-28	036	Financial research	A
036-1187	036	Financial research in the field of financial instruments	M
042-2384	042	Stem cell research services	A
042-761	042	Research in the field of hair care	A
042-2077	042	Charitable services, namely, providing computer software for those in need [excluding computer game software]	D
021-4195	021	Tea pots made of precious metals	M
016-2566	016	Fingerstalls for office use	A
039-280	039	Coat check services	A
030-1944	030	Corn starch derivatives in powder form for making beverages	D
021-1667	021	Valet trays [valet boxes]	D
021-1066	021	Tea pots	M
035-3165	035	Maintaining patient medical records and files	M
042-2064	042	Providing temporary use of on-line non-downloadable software and applications for {specify the function of the programs, e.g., for use in database management, for use as a spreadsheet, for word processing, etc. and, if software is content- or field-specific, the field of use}	M
042-1920	042	Providing temporary use of a web-based software application for {specify the function of the programs, e.g., for use in database management, for use as a spreadsheet, for word processing, etc. and, if software is content- or field-specific, the field of use}	M
042-1903	042	Providing on-line non-downloadable software for {specify the function of the programs, e.g., for use in database management, for use as spreadsheet, for word processing, etc. and, if software is content- or field-specific, the field of use}	M
042-1798	042	Scientific research consulting in the field of {indicate the scientific field, e.g., genetics}	A
009-5985	009	Coordinate measuring instruments	A
003-465	003	Scented oils used to produce aromas when heated	A
007-517	007	Power ice augers used in ice fishing	A
007-306	007	Utensil baskets for dishwashing machines	A
007-48	007	Mangles	M
021-4717	021	Hand-operated salt grinders	A
025-181	025	Play suits	A
025-885	025	Baselayer bottoms	A
042-1175	042	Video game development services	A
042-2492	042	Providing information relating to computer technology and programming via a website	A
045-2496	045	Tuxedo rental	M
003-1907	003	Hair moisturizers	A
003-1908	003	Lip conditioners	A
005-2365	005	Diagnostic reagents for medical use	A
005-2366	005	Dietetic confectionery adapted for medical purposes	A
007-4435	007	Power operated blowers	A
007-4439	007	Pulp processing machines	A
007-4445	007	Sparking plugs not for land vehicles	A
004-611	004	Lanoline for industrial purposes	A
004-617	004	Sesame oil for industrial purposes	A
005-2386	005	Anti-nauseants	A
005-2191	005	Arisaema roots for medical purposes	M
003-1904	003	Tissues impregnated with a skin cleanser	A
004-621	004	Boiled oil for industrial purposes	A
006-1797	006	Vehicle registration plates of metal	A
007-4446	007	Brake shoes other than for vehicles	A
007-4448	007	Curtain drawing devices electrically operated	A
007-4450	007	Electric saws	A
007-4455	007	Tractor-towed fertilizer distributors	A
009-5978	009	Central processing unit coolers	A
009-5979	009	Closed circuit television cameras	A
009-5980	009	Clothing for protection against chemicals	A
009-5982	009	Computer games programmes downloaded via the internet	A
009-5983	009	Computer motherboards	A
009-5986	009	Data processing equipment	A
007-87	007	Cyclone separators	A
003-1909	003	Massage gels other than for medical purposes	A
003-1912	003	Non-medicated pet shampoos	A
003-1914	003	Preparations for stripping wax from floors	A
003-1915	003	Shaving balms	A
003-1916	003	Shining preparations for plant leaves	A
006-90	006	Metal fencing panels	A
006-318	006	Metal siding	A
006-205	006	Metal valances	A
006-1799	006	Non-electric wires of common metal	A
009-5987	009	Automatic cash sorting and counting machines	A
006-1311	006	Armour-plating of metal for building	M
037-1493	037	Construction of commercial buildings	A
037-1494	037	Construction of decks	A
037-1495	037	Construction of factories	A
037-1496	037	Construction of industrial buildings	A
037-1498	037	Construction of oil pipelines	A
037-1511	037	Construction, repair and maintenance of buildings, and providing information relating thereto	A
037-1515	037	Consultancy and information services relating to construction	A
037-1516	037	Consultancy in the field of basement waterproofing	A
037-1521	037	Consultancy relating to the installation, maintenance and repair of computer hardware	A
018-819	018	Nail caps for cats	A
018-820	018	Nail caps for dogs	A
037-1523	037	Consultancy relating to the maintenance of computer hardware	A
037-1524	037	Consultancy relating to the repair of computer hardware	A
017-966	017	Rubber bumpers for pool ladders	A
019-1407	019	Handrails, not of metal, for swimming pools	A
016-2316	016	Bookbinding material	D
016-1728	016	Binding materials for books and papers	D
016-1681	016	Bookbinding materials	D
016-3327	016	Paper towels for cleaning purposes	A
016-3328	016	Tracing needles for drawing	A
016-3333	016	T-squares for drawing	A
016-3334	016	Drawing tee squares	A
016-3335	016	Ribbons for typewriters	A
044-2993	044	Wildlife management	A
045-2766	045	Legal consultancy relating to licensing	A
045-2767	045	Legal consultancy relating to licensing of {indicate specific goods or concept being licensed}	A
045-2768	045	Legal services relating to legal conveyancing	A
037-1391	037	Electrostatic spraying of disinfectants on building interior surfaces	M
043-152	043	Residential hotel services	D
043-268	043	Hotel and restaurant reservation services	D
043-276	043	Motel services	M
045-1093	045	Licensing consultation in connection with the production, bottling, marketing and sale of wine and wine related beverages in compliance with existing Federal and State regulations [legal consultation]	D
032-127	032	Scented water for making beverages	A
035-1546	035	Commercial lobbying services	A
044-203	044	Golf course design	D
040-543	040	Assembly of oil and gas industrial machines for others	D
040-542	040	Assembly of gas turbine and combustion engines for others	D
021-4196	021	Tea pots of precious metal	M
021-606	021	Bottles for pharmaceuticals sold empty	A
035-1378	035	Computerized file management	A
045-2770	045	Legal services relating to licenses	A
045-2771	045	Licensing of advertising slogans	A
045-2772	045	Licensing of architectural drawings	A
045-2773	045	Licensing of computer software	A
005-2379	005	Pharmaceutical products for the treatment of infectious diseases	A
008-51	008	Electric razors	A
009-5981	009	Clothing for protection against radiation	A
009-4834	009	Speaking tubes	A
009-5441	009	Downloadable video game programs	A
009-728	009	Smoke alarms	A
028-621	028	LCD game machines	A
029-1311	029	Tuna, not live	A
030-1561	030	Bean meal	A
003-1910	003	Natural perfumery	A
003-1911	003	Non medicated skin toners	A
006-319	006	Metal skylights	A
006-1805	006	Foil of metal for packaging	A
006-64	006	Aluminum siding	A
006-1505	006	Cotter pins of metal	X
008-4170	008	Oil filter wrenches	A
037-1489	037	Construction and repair of airports and airport facilities	A
037-1490	037	Construction and repair of houses	A
037-1491	037	Construction and repair of residential buildings and houses	A
037-1492	037	Construction of building interiors	A
037-1497	037	Construction of office buildings	A
037-1499	037	Construction of porches	A
037-1510	037	Construction, repair and maintenance of buildings	A
037-1512	037	Construction, repair and maintenance of buildings, and provision of information relating thereto	A
037-1513	037	Consultancy and advisory services relating to the repair and maintenance of vacuum pumps and parts thereof	A
001-2307	001	Potato flour for industrial use	A
037-1563	037	Gasoline refueling services for motor vehicles	A
030-1943	030	Corn starch for culinary purposes	A
030-1945	030	Sago palm starch for culinary purposes	A
022-538	022	Bags for storing hammocks	A
037-1568	037	Installation and maintenance of burglar or fire alarms	A
037-1622	037	Installation, maintenance and repair of dental apparatus and instruments	A
037-1623	037	Installation, maintenance and repair of doors and fences	A
037-1627	037	Installation, maintenance and repair of fire detection apparatus	A
037-1632	037	Installation, maintenance and repair of flare stacks for use in the oil industry	X
037-1633	037	Installation, maintenance and repair of moving staircases	A
037-1634	037	Installation, maintenance and repair of moving stairways	A
037-1635	037	Installation, repair and maintenance of computer hardware and peripherals being computer support services	A
037-1636	037	Maintenance of clocks	A
037-1637	037	Maintenance of clocks and watches	A
037-1640	037	Petrol refuelling services for motor vehicles	A
037-1641	037	Repair and maintenance of film projectors	A
037-1642	037	Repair of clocks	A
037-1643	037	Repair of clocks and watches	A
037-1645	037	Restoration of furniture	A
037-1651	037	Installation, maintenance and repair of fire detection systems	A
009-5997	009	Wearable electronic proximity sensors with embedded contact tracing software for {specify, e.g., monitoring and alerting of social distances, distance measuring, etc.} among wearers	A
010-1998	010	Thermometers for medical use with embedded software for communicating temperature data to track illness symptoms	A
042-2601	042	Software as a service (SAAS) services featuring software for analyzing and reporting self-assessment of illness for the purpose of {specify, e.g., infectious disease, E. coli outbreak, etc.} contact tracing	A
005-2363	005	Cardiovascular pharmaceutical preparations	A
005-2370	005	Insecticidal preparations	A
005-2380	005	Pharmaceutical products for the treatment of viral diseases	A
006-1798	006	Tiles of metal	A
007-4457	007	Wire welding machines	A
008-4245	008	Bolt cutters being hand tools	A
008-4246	008	Ditch bank blades being hand tools	A
009-5984	009	Computer mouse	A
001-2327	001	Sulphur	A
002-411	002	Raw natural Canada balsam resins	M
003-1921	003	Essential oils of Canada balsam	A
001-1415	001	Ammonia [volatile alkali] for industrial purposes	D
001-1071	001	Expanded-clay substrates for hydroponic plant growing	M
001-1315	001	Scented oils, other than essential oils, for use in the manufacturing of {specify products or field of use}	M
001-918	001	Chemical preparations in the nature of ion-exchange resins	M
001-917	001	Chemical preparations in the nature of ion-exchange resin membranes	M
001-886	001	Metal tempering preparations	M
001-878	001	Vulcanisation accelerators	M
001-2031	001	Dry ice [carbon dioxide]	D
001-1508	001	Animal fodder additives in the nature of fodder acidifiers for use in manufacturing animal fodder	M
005-1578	005	Animal fodder additives in the nature of fodder acidifiers for medical purposes	M
037-2268	037	Rental of robots for applying spray coatings	A
037-2269	037	Rental of robots for building construction	A
037-2270	037	Rental of robots for building maintenance	A
037-2271	037	Rental of robots for installing drywall	A
037-2272	037	Rental of robots for painting	A
037-2273	037	Rental of robots for power washing	A
021-4270	021	Bread baskets for household purposes	X
021-4287	021	Buckets made of woven fabrics	X
021-4307	021	Boxes of glass	X
021-4597	021	Toothpaste tube squeezers	A
026-4021	026	Metal pins for mounting insects	A
028-4331	028	Tungsten weights for fishing	A
028-4332	028	Toy insect cages	A
028-4333	028	Toy insect nets	A
028-4282	028	Toy modeling compounds	A
029-1885	029	Grilled fish fillets	A
029-1886	029	Soy milk beverages	A
029-1117	029	Processed brussels sprouts	A
029-1597	029	Sausage casings	M
030-1799	030	Frozen pizza	A
030-1797	030	Taco sauce	A
005-2277	005	Powders for killing fleas on animals	A
005-2279	005	Pharmaceutical preparations for the treatment of bone fractures	A
005-2280	005	Sterilising substances	A
005-2281	005	Gels for dermatological use	A
005-2283	005	Anti-inflammatory preparations	A
005-2284	005	Bacterial preparations for medical purposes	A
005-2285	005	Bacterial preparations for veterinary purposes	A
005-2286	005	Bacteriological preparations for medical purposes	A
005-2288	005	Deodorants for clothing	A
005-2289	005	Deodorants for textiles	A
005-2290	005	Greases for medical or veterinary purposes	A
005-2291	005	Material for dental bridges	A
005-2292	005	Material for dental crowns	A
005-2293	005	Material for repairing teeth	A
005-2294	005	Materials for dental fillings	A
005-2295	005	Materials for dental sealing purposes	A
005-2296	005	Medicated mouth care preparations	A
005-2297	005	Medicated mouth treatment preparations	A
005-2298	005	Petroleum jelly for medical or veterinary purposes	A
005-2299	005	Pharmaceutical preparations for the prevention of osteoporosis	A
005-2300	005	Pharmaceutical preparations for the treatment of hormonal disorders	A
005-2301	005	Pharmaceutical preparations for treating allergic rhinitis	A
005-2302	005	Pharmaceutical preparations for treating asthma	A
005-2303	005	Pharmaceutical products for the treatment of cancer	A
005-2304	005	Preparations to prevent nail-biting	A
005-2305	005	Surgical plasters	A
005-116	005	Athlete's foot preparations	A
005-115	005	Athlete's foot powders	A
005-114	005	Athlete's foot lotions	A
042-2488	042	Providing temporary use of on-line non-downloadable computer software for use as a digital wallet	A
020-295	020	Furniture parts, namely, countertops	D
024-507	024	Dish towels for drying	A
003-1570	003	Reed diffusers comprised of scented oils and also including reeds and a diffuser container	A
042-1239	042	Providing a web site featuring temporary use of non-downloadable software allowing web site users to upload, post and display online videos for sharing with others for entertainment purposes	A
042-2523	042	Providing on-line non-downloadable software for generating cryptographic keys for receiving and spending cryptocurrency	A
043-2522	043	Electronic cigarette lounge services	A
035-3045	035	Providing consumer product recommendations in the field of {indicate subject matter or field}	A
008-4188	008	Hand tools in the nature of drum plug openers	A
008-4189	008	Hand tools in the nature of jewelry clasp openers	A
008-4190	008	Hand tools in the nature of pail lid openers	A
008-4191	008	Hand tools in the nature of paint lid openers	A
008-431	008	Manually operated container opener for household or domestic use	D
010-1858	010	Breast milk storage bags	A
045-129	045	Animal cruelty investigations	A
044-2776	044	Intravenous (IV) hydration therapy services	A
044-2777	044	Intravenous (IV) vitamin therapy services	A
016-2520	016	Erasing shields	A
033-244	033	Grape brandy distilled in the Armagnac region of France in compliance with the laws and regulations of the French Government	M
033-245	033	Grape brandy distilled in the Cognac region of France in compliance with the laws and regulations of the French Government	M
039-851	039	Making reservations and bookings for transportation by {indicate mode of transport, e.g., airplane, train, boat, etc. }	A
042-2524	042	Providing temporary use of on-line non-downloadable firmware for {specify the function of the program, e.g., use in database management, use as a spreadsheet, word processing, etc. and, if firmware is content- or field-specific, the content or field of use}	A
007-4368	007	Fitted covers for gas-operated power generators	A
007-4369	007	Fitted covers for portable electric power generators	A
041-2152	041	Providing on-line courses of instruction in the field of {specify field, e.g., science, mathematics, etc.} via a website	A
041-2153	041	Providing courses of instruction in the field of {specify field, e.g., science, mathematics, etc.}	A
009-4016	009	Downloadable audio files, multimedia files, text files, e-mails, written documents, audio material, video material and games featuring information in the form of downloadable short educational/training communications in the field of human resource development for the promotion of employee retention, career growth and increased productivity for employees and employers	D
020-1937	020	Placards of plastic	A
044-2778	044	Scalp micropigmentation services	A
020-1936	020	Placards of wood	A
037-1317	037	Mobile auto body repair services in the nature of paintless dent removal	A
037-1318	037	Auto body repair services in the nature of paintless dent repair	A
041-2154	041	Entertainment in the nature of a pumpkin patch attraction	A
028-4322	028	Magnetic levitating desk toys	A
043-2596	043	Providing reviews of food by food critics	A
043-2597	043	Providing reviews of restaurants by restaurant critics	A
043-2598	043	Providing temporary accommodation at animal pounds	A
043-2599	043	Providing temporary accommodation at halfway houses	A
043-2600	043	Reception services in the nature of conferment of keys for guests in temporary accommodations	A
043-2601	043	Reception services in the nature of managing arrivals and departures of guests in temporary accommodations	A
043-2603	043	Rental of vacation accommodation	A
043-2604	043	Restaurant reviewing services provided by restaurant critics	A
043-2605	043	Temporary accommodation provided by dude ranches	A
044-2980	044	Consultancy in the field of landscape architecture	A
044-2981	044	Diagnosis of visual processing disorders	A
044-2982	044	Landscape architecture	A
044-2984	044	Medical treatment of {indicate condition or disease, e.g., osteoarthritis, cancer, etc.} using cultured cells	A
044-2985	044	Medical treatment using cultured cells	A
044-2986	044	Postnatal care services in the nature of lactation consultancy	A
044-2987	044	Postnatal care services in the nature of massage therapy	A
044-2988	044	Providing information in the field of landscape architecture	A
044-2989	044	Providing substance abuse treatment at halfway houses	A
044-2991	044	Rental of oxygen cylinders, filled, for medical purposes	A
044-2992	044	Substance abuse treatment services	A
016-3251	016	Scented drawer liners of paper	A
016-3254	016	Perfumed drawer lines	A
016-3255	016	Sealing wafers	A
016-3256	016	Wafer seals	A
016-3257	016	Office seals	A
016-3261	016	Set squares for drawing	A
016-3262	016	Drawing set squares	A
016-3263	016	Sheets of paper for taking notes	A
016-3264	016	Shipping containers of cardboard	A
016-3265	016	Shipping containers made of cardboard	A
016-3266	016	Shipping labels of paper	A
016-3267	016	Shipping labels made of paper	A
016-3268	016	Paper shipping labels	A
016-3269	016	Signboards of paper	A
016-3270	016	Signboards made of paper	A
038-656	038	Communication via television transmissions	A
008-4277	008	Soup spoons	A
028-273	028	Christmas garlands	D
008-4276	008	Demitasse spoons	A
009-5949	009	Downloadable computer software for accessing, reading, and tracking information in the field of {indicate subject matter of information, e.g., patient medical records, financial transactions, etc.} on a blockchain	A
042-2594	042	Providing temporary use of on-line non-downloadable software for accessing, reading, and tracking information in the field of {indicate subject matter of information, e.g., patient medical records, financial transactions, etc.} on a blockchain	A
016-3378	016	Dip pens	A
016-3377	016	Pasteboard	A
044-2959	044	Deep tissue massage	A
001-292	001	Planting soil	A
003-336	003	Topical skin sprays for cosmetic purposes	A
007-4431	007	Passenger lifts	A
008-535	008	Hand-operated hoes	M
016-556	016	Printed city directories	M
016-934	016	Paper baby bibs	A
009-6141	009	Downloadable graphic novels	A
011-4262	011	Solar powered grills for cooking	A
018-838	018	Capes for pets	A
025-1606	025	Anti-slip pads for thong sandals	A
016-3376	016	Scratch books for drawing	A
001-2010	001	Chemical preparations for sealing plant wounds	A
011-1055	011	Cooking ovens	A
035-307	035	Providing consumer product information via the Internet	A
037-1392	037	Sterilization services for personal protective equipment	A
040-1056	040	Rental of air purification equipment	A
007-3963	007	Glass-working machines	A
009-4865	009	Identification threads for electric wires	A
016-568	016	Printed coloring books	M
016-647	016	Printed comic books	M
020-29	020	Plastic knobs	A
025-190	025	Rompers	A
035-1659	035	Consulting services in the field of internet marketing	A
037-1382	037	Disinfecting of building interior surfaces	A
043-2497	043	Personal chef services	A
007-1285	007	Electronic feeders for animals	A
021-4793	021	Electric fly swatters	A
021-4794	021	Cleaning brushes for automobile air conditioners	A
044-2961	044	Hot stone massage	A
001-43	001	Growing media for plants	A
021-4795	021	Non-electric water spraying mops	A
044-2960	044	Eyebrow tattooing services	A
001-2175	001	Chemical preparations to prevent diseases affecting cereal plants	A
001-2157	001	Biostimulants being plant hormones	A
001-2158	001	Biostimulants being plant nutrition preparations	A
005-2180	005	Chemical preparations for treating diseases affecting vine plants	A
007-4461	007	Motor hoes	A
020-1709	020	Mother-of-pearl, unworked or semi-worked	A
021-4739	021	Wallpaper brushes	M
028-1036	028	Sabres for fencing	M
010-2056	010	Acupressure slippers for medical purposes	A
031-1049	031	Live worms	A
001-2171	001	Chemical preparations to prevent diseases affecting vine plants	A
003-1622	003	Tea tree oil	A
037-1469	037	Cleaning of exterior surfaces of buildings and providing information relating thereto	A
037-1472	037	Cleaning of floor surfaces	A
037-1473	037	Cleaning of office buildings and commercial premises	A
037-1474	037	Cleaning of rugs	A
037-1475	037	Cleaning of storage tanks	A
037-1476	037	Cleaning of textiles	A
037-1478	037	Clock and watch maintenance	A
037-1479	037	Clock and watch maintenance services	A
001-2305	001	Calcium ascorbate for the food industry	A
002-613	002	Waterproof coatings used as paints	A
037-1480	037	Clock maintenance	A
037-1481	037	Clock maintenance services	A
009-5988	009	Electrical voltage tester pens	A
034-359	034	Tipping paper for cigarettes	A
040-1058	040	Custom manufacturing of make-up	A
041-2345	041	Conducting pilates classes	A
045-2736	045	Hat rental	A
004-618	004	Soybean oil for industrial purposes	A
003-327	003	Age spot reducing creams	A
037-1482	037	Clock repair services	A
010-1996	010	Insemination syringes	A
029-1957	029	Granulated chicken bouillon	A
045-2737	045	Legal research relating to real estate transactions	A
045-2738	045	Legal consultancy relating to television advertising, television entertainment and sports	A
045-2739	045	Conducting civil marriage ceremonies	A
045-2740	045	Cartoon character licensing	A
037-1484	037	Clothing repair and providing information relating thereto	A
011-4223	011	Air-source heat pump water heaters	A
016-3336	016	Electric or non-electric typewriters	A
016-3337	016	Uncoated thermal papers	A
016-3338	016	Unframed lithographs	A
016-3339	016	Washcloths made of paper	A
016-3342	016	Watercolor pencils	A
016-3348	016	Paraffined paper	A
016-3349	016	Whiteboard pens	A
016-3350	016	Pens for whiteboards	A
016-3351	016	Whiteboard marker pens	A
016-3353	016	Works of art of cardboard	A
001-986	001	Chemical compounds for curing concrete	A
001-2050	001	Phosphate fertilisers	A
001-1572	001	Mold inhibiting chemicals for preventing growth of mold	M
003-1122	003	Wrinkle-minimizing cosmetic preparations for topical facial use	A
003-214	003	Skin moisturizer masks	A
009-5562	009	Protective cases for portable media players	A
009-4831	009	Reflecting discs for wear, for the prevention of traffic accidents	A
009-4134	009	Portable vibration speakers	A
009-700	009	Telecommunication switches	A
009-1046	009	Camera flashes	A
009-4374	009	Camera straps	A
009-327	009	Data processors	A
012-1358	012	Vehicle running boards	A
016-355	016	Printed law digests	M
016-1305	016	Garbage bags of plastic for household use	M
016-1202	016	Inkstones	M
016-1539	016	Printed graphic novels	M
016-1087	016	Printed event programs	M
016-2352	016	Printed manga comic books	X
016-1520	016	Printed greeting cards	M
016-1071	016	Drawing boards being painters' articles	M
016-802	016	Mounted printed posters	M
016-1655	016	Printed geographical maps	M
001-1275	001	Enzymes for use in the processing of food by-products	A
001-22	001	Adhesives for use in the manufacture of surgical bandages	A
001-1613	001	Unprocessed urea-formaldehyde resins	M
003-1829	003	Body paint for cosmetic purposes	A
